Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,St. Lucia,LCA,22.6,17.8,17,16.8,16.6,16.3,16.1,15.8,15.4,15.1,14.7,14.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,St. Vincent and the Grenadines,VCT,24.5,22.2,21.7,21.6,21.4,21.1,20.8,20.3,19.8,19.3,18.8,18.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sudan,SDN,127.5,105.9,89.3,87,84.7,82.4,80.2,78.2,76.3,74.2,72.2,70.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Suriname,SUR,47.6,34.4,28.3,27.4,26.4,25.6,24.9,24.1,23.4,22.6,21.9,21.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Swaziland,SWZ,74.7,128.3,122.7,117.2,113.8,104.2,88.4,79.1,72.6,67.6,62.6,60.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Sweden,SWE,6.9,4.1,3.4,3.3,3.2,3.1,3.1,3,3,3,3,3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Switzerland,CHE,8.2,5.6,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4,3.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Syrian Arab Republic,SYR,37.2,23.4,18,17.3,16.5,15.9,15.3,15,16,15.3,14.3,12.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tajikistan,TJK,108.4,93,61.5,58.6,56.2,54.3,52.6,50.9,49.3,47.8,46.3,44.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tanzania,TZA,165.2,130.6,85.8,79.5,73.7,68.6,63.4,58.9,55.7,53.3,50.5,48.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Thailand,THA,37,22.5,17,16.3,15.6,15,14.5,14,13.5,13.1,12.6,12.3
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Timor-Leste,TMP,175.7,110.2,78.5,74.1,70.2,66.7,63.8,61.1,58.7,56.5,54.5,52.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Togo,TGO,146.2,120.8,102.1,99.2,96.4,93.6,90.9,88.3,85.8,83.3,80.8,78.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tonga,TON,21.9,17.6,16.7,16.8,17,17.2,17.4,17.5,17.5,17.3,17.1,16.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Trinidad and Tobago,TTO,30.5,28.7,26.3,25.6,24.9,24.3,23.6,22.9,22.2,21.5,20.9,20.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tunisia,TUN,57,31.7,21.7,20.5,19.4,18.3,17.4,16.5,15.8,15.2,14.6,14
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Turkey,TUR,74.5,39.6,25.7,23.9,22.2,20.6,19.1,17.8,16.5,15.4,14.3,13.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Turkmenistan,TKM,90.5,81.6,68,66,63.9,61.9,60.1,58.2,56.5,54.7,53.1,51.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tuvalu,TUV,57.2,42.6,35.6,34.6,33.6,32.6,31.7,30.7,29.8,28.9,28,27.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Uganda,UGA,187.1,148.4,99.7,92.5,85.9,80.1,75.2,69.8,64.1,60.3,56.9,54.6
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Ukraine,UKR,19.5,18.5,14,13.4,12.9,12.3,11.8,11.2,10.6,10,9.5,9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,United Arab Emirates,ARE,16.5,11.1,9.6,9.4,9.1,8.8,8.5,8.2,7.8,7.4,7.1,6.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,United Kingdom,GBR,9.3,6.6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,United States,USA,11.2,8.4,7.9,7.8,7.7,7.5,7.4,7.2,7.1,6.9,6.7,6.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Uruguay,URY,23.1,16.8,13.8,13.3,13,12.7,12.3,12,11.6,11.1,10.6,10.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Uzbekistan,UZB,71.5,63.2,52.5,50.8,49.2,47.6,46.1,44.6,43.2,41.8,40.4,39.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Vanuatu,VUT,35.6,28.5,28,28.2,28.2,28.4,28.5,28.6,28.6,28.4,28.1,27.5
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Venezuela, RB",VEN,29.6,21.7,17.9,17.4,17.1,16.8,16.6,16.4,16.1,15.7,15.3,14.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Vietnam,VNM,50.8,33.8,27.7,26.9,26.2,25.5,24.8,24.2,23.5,22.9,22.3,21.7
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,West Bank and Gaza,WBG,44.4,29.8,25.8,25.2,24.7,24.2,23.8,23.3,22.8,22.3,21.7,21.1
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Yemen, Rep.",YEM,126.3,95.4,68.5,64.7,61,57.6,54.2,51.1,48.4,46,43.8,41.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Zambia,ZMB,190.6,163.1,104.5,98,93.1,87.4,82.1,78.6,74.4,70.2,66.6,64
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Zimbabwe,ZWE,75.8,105.8,100,98,95.4,92.9,89.5,85.6,78.5,74.5,72.3,70.7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/22/2015,,,,,,,,,,,,,,,
